,median_abs_coef,median_perm_importance,presence_freq,coef_nonzero_given_present,pi_nonzero_freq,consensus_rank
core__t2__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.8032740394142126,0.06229504637780969,1.0,1.0,0.8,2.0
core__flair__wavelet-LLH_glcm_MCC,0.6916220173364247,0.03687648160059939,1.0,1.0,0.9,6.0
core__t1__wavelet-LHL_firstorder_Skewness,0.7301490304050987,0.03333357309835805,1.0,1.0,1.0,7.0
core__t1ce__wavelet-LLL_firstorder_10Percentile,0.5561118277202923,0.03393383987941068,1.0,1.0,0.9,11.0
core__t2__wavelet-HHL_glcm_Correlation,0.5355717992774969,0.05909608742444144,0.1,1.0,1.0,12.0
core__flair__original_glszm_SmallAreaLowGrayLevelEmphasis,0.60126238234668,0.02401670564001969,1.0,1.0,1.0,12.0
core__t1ce__wavelet-LHL_firstorder_Skewness,0.5472197754604551,0.03221525544008567,1.0,1.0,0.8,14.0
core__t2__wavelet-HLL_firstorder_Median,0.558846564192307,0.02125564732652752,1.0,1.0,0.9,18.0
core__t1__wavelet-HLL_glrlm_RunEntropy,0.50210916407363,0.027563668201740176,1.0,1.0,1.0,19.0
core__t1ce__wavelet-LLL_firstorder_RootMeanSquared,0.544011708999927,0.01942180992615471,1.0,1.0,0.7,23.0
core__t1ce__wavelet-LLH_firstorder_Skewness,0.4622732534463828,0.021800242635300032,1.0,1.0,0.9,27.0
core__t2__wavelet-LLH_firstorder_Median,0.5189471278970201,0.018719384656047562,1.0,1.0,1.0,27.0
core__t2__wavelet-LLH_glcm_MaximumProbability,0.4968259575594274,0.018886523532517338,1.0,1.0,0.8,28.0
core__t1ce__wavelet-LHH_firstorder_Skewness,0.5648401918278718,0.016475288289031408,1.0,1.0,1.0,29.0
core__t1__wavelet-LHL_glszm_SmallAreaEmphasis,0.4742095783755518,0.017927498706004474,1.0,1.0,0.8,32.0
core__t1ce__wavelet-LHH_glszm_SmallAreaEmphasis,0.42069172256073273,0.022644991129493492,1.0,1.0,0.9,35.0
core__t1__wavelet-LHL_firstorder_Median,0.4689342746255685,0.0175978354419146,0.7,1.0,0.8571428571428571,36.0
core__t1ce__wavelet-HLH_glszm_ZoneEntropy,0.46112066487323855,0.01778698977884871,0.4,1.0,0.5,38.0
core__t1ce__wavelet-HLL_glcm_Correlation,0.41775185949769655,0.020620956745745586,1.0,1.0,0.8,40.0
core__t1__wavelet-HLH_glszm_SmallAreaEmphasis,0.453450316062631,0.017577062074024197,1.0,1.0,0.7,41.0
